date_of_demolition,locality,district,area,housing_units,people_left_homeless,minors_left_homeless,type_of_sturcture,reason_for_demolition
2023-08-30,Tarqumya,Hebron,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-29,al-Bweirah,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-08-24,Shufah,Tulkarm,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-21,Bidu,al-Quds,west-bank,8,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-21,Bidu,al-Quds,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-21,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-08-21,Bidu,al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-08-21,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,8,0,Residental,Demolition on the pretext of unlawful construction
2023-08-21,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,8,3,Residental,Demolition on the pretext of unlawful construction
2023-08-21,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-08-21,'Ein a-Duyuk a-Tahta,Jericho,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-21,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-08-17,'Ein Samia,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-17,Jenin,Jenin,west-bank,0,0,0,Non Resedential,Demolition for alleged military purposes
2023-08-17,Jenin,Jenin,west-bank,0,0,0,Residental,Demolition for alleged military purposes
2023-08-17,Sarta,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-17,Humsah,Hebron,west-bank,1,7,5,Residental,Demolition on the pretext of unlawful construction
2023-08-17,'Ein Shibli,Nablus,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-16,Balata R.C.,Nablus,west-bank,0,0,0,Residental,Demolition for alleged military purposes
2023-08-14,Zif,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-14,Beit Sira,Ramallah and al-Bira,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-14,Beit Sira,Ramallah and al-Bira,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-14,Beit Sira,Ramallah and al-Bira,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-08,'Askar R.C.,Nablus,west-bank,1,2,0,Residental,Demolition of houses as punishment
2023-08-03,Hebron,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-01,Deir Ballut,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-08-01,Suba,Hebron,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-31,al-Mughayir,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-31,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-07-31,al-'Arrub R.C.,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-31,al-Mughayir,Jenin,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-07-26,Idhna,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,6,2,Residental,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,7,5,Residental,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,al-Hijrah,Hebron,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,5,3,Residental,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,10,2,Residental,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-25,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-24,Battir,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-24,Kh. Humsah a-Tahta,Tubas,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-07-19,a-Lubban al-Gharbiyah,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-18,Birin,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-17,al-Muntar,al-Quds,west-bank,1,7,5,Residental,Demolition on the pretext of unlawful construction
2023-07-17,al-Muntar,al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-07-17,al-Muntar,al-Quds,west-bank,1,3,1,Residental,Demolition on the pretext of unlawful construction
2023-07-17,al-Muntar,al-Quds,west-bank,1,3,1,Residental,Demolition on the pretext of unlawful construction
2023-07-12,a-Dhahiriyah,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-12,al-Baq'ah (Hebron),Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-11,Beit Jala,Bethlehem,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-09,Hebron,Hebron,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-06,Wadi Abu al-Hindy,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-06,Duma,Nablus,west-bank,21,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-07-04,Jenin R.C.,Jenin,west-bank,1,6,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,7,2,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,5,1,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,8,6,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,4,2,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,6,4,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,6,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,8,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,2,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,8,4,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,6,2,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,6,4,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,5,2,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,7,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,6,3,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,4,1,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,1,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,2,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,2,1,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,4,2,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,3,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,2,1,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,4,2,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,5,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,5,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,5,3,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,6,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,4,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,4,2,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,3,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,2,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,2,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,5,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,5,0,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,8,2,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,5,3,Residental,Demolition for alleged military purposes
2023-07-04,Jenin R.C.,Jenin,west-bank,1,7,5,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,4,0,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,4,0,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,1,0,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,8,6,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,6,4,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,5,0,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,3,0,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,6,0,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,6,0,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,7,0,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,4,2,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,6,4,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,5,3,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,2,0,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,6,4,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,3,0,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,6,4,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,7,0,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,6,0,Residental,Demolition for alleged military purposes
2023-07-03,Jenin R.C.,Jenin,west-bank,1,4,2,Residental,Demolition for alleged military purposes
2023-06-29,Jurish,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-06-26,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-06-22,Nablus,Nablus,west-bank,1,4,1,Residental,Demolition of houses as punishment
2023-06-22,Kh. al-Maleh (Hamamat al-Maleh),Tubas,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-06-22,Kh. al-Maleh (Hamamat al-Maleh),Tubas,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-06-19,Qalandia,al-Quds,west-bank,4,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-06-19,Qalandia,al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-06-19,Qalandia,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-06-19,Qalandia,al-Quds,west-bank,23,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-06-15,Nablus,Nablus,west-bank,1,4,1,Residental,Demolition of houses as punishment
2023-06-15,Bir 'Unah,Bethlehem,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-06-15,Kh. Um al-Jamal,Tubas,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-06-15,Kh. Um al-Jamal,Tubas,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-06-15,Kh. Um al-Jamal,Tubas,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-06-15,Kh. Um al-Jamal,Tubas,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-06-14,Hizma,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-06-14,Hizma,al-Quds,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-06-11,'Azzun 'Atmah,Qalqiliya,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-06-08,Ramallah,Ramallah and al-Bira,west-bank,1,4,0,Residental,Demolition of houses as punishment
2023-06-06,Tublas (Hizma),al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-06-06,Kh. Tatrit ('Arab al-Freijat),Hebron,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-06-06,Tublas (Hizma),al-Quds,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
