nick,lati,long
Tarqumya,"31,5912218651573","35,0101394817479"
Zif,"31,4658330000000","35,1380560000000"
Hebron,"31,5286110000000","35,0969440000000"
Suba,"31,7847220000000","35,1261110000000"
al-'Arrub R.C.,"31,61680632","35,14147266"
Idhna,"31,56778275","34,97718306"
al-Hijrah,"31,48909203","35,0558758"
Birin,"31,487686","35,14772"
a-Dhahiriyah,"31,41066139","34,97628018"
al-Baq'ah (Hebron),"31,53449893","35,12513292"
Kh. Tatrit ('Arab al-Freijat),"31,35578963","34,92075007"
a-Ramadin,"31,3769738818752","34,9097069157041"
Deir Samit,"31,5213901799921","34,9747306411324"
Kh. Iqteit,"31,4216356973050","34,8800448122738"
Kh. Ma'in,"31,4085339153363","35,1331085113298"
a-Zuweidin,"31,4448484014080","35,2121641247859"
Kharas,"31,6124168572248","35,0443365357143"
Beit Ula,"31,5984152782743","35,0264229847467"
al-Mufaqarah,"31,4021131005493","35,1507289637550"
al-Buweib,"31,4783659008844","35,0654999757717"
Masafer Bani Na'im (Khallet al-Masafer),"31,4937961167295","35,2493472815504"
Qalqas,"31,4936633158408","35,0927918891120"
Shuyukh al-'Arrub,"31,5764563151675","35,1513948106238"
Dura,"31,5043255447228","35,0277939418771"
a-Tuwani,"31,4131939786017","35,1540823486560"
Farsh al-Hawa,"31,5590725480447","35,0839999952478"
Um Lasafa,"31,4345173941448","35,1619252248417"
al-Jawaya,"31,4232252538435","35,1520442384104"
Bani Na'im,"31,5147175575902","35,1652967893810"
Beit 'Einun,"31,5645896342906","35,1283027048806"
a-Rifa'iya,"31,4468479400710","35,1529481915390"
Sa'ir,"31,5824140422766","35,1438119560584"
Khallet al-Mayah,"31,4458698268980","35,1433560045041"
Halhul,"31,5796740162543","35,0998974390672"
Beit Ummar,"31,6229560193410","35,1023703664310"
Beit Kahil,"31,5703986432321","35,0690165355821"
'Arab al-Fureijat,"31,3559474840615","34,9205260632572"
Far'a,"31,5453716310516","35,0153009434950"
al-Karmel,"31,4169348827664","35,1323880246671"
a-Samu',"31,3984480027147","35,0652229261815"
Kh. Susiya,"31,4016641072662","35,1090081353628"
Beit 'Awwa,"31,5064963174930","34,9501607046968"
Beit Mirsim,"31,4536762476643","34,9121198926226"
Yatta,"31,4441148999187","35,0901174074679"
al-Burj,"31,4413307403087","34,9071963001123"
Deir Razih,"31,4724579804406","35,0413191460793"
'Arab al-Freijat,"31,3553430281547","34,9209908068486"
Kh. a-Rahwah,"31,3644184279952","34,9485043734826"
Humsah,"31,5320042925871","34,9846197099797"
Sikkah,"31,4911376481639","34,9434045866017"
Masafer Yatta,"31,3797068936144","35,1804896756643"
al-Fawar R.C.,"31,4785123000080","35,0654248739240"
Bidu,"31,8339372770994","35,1476448750249"
a-Za'ayem,"31,7875529786112","35,2637023669559"
al-Muntar,"31,7425680327235","35,3158668963827"
Wadi Abu al-Hindy,"31,7581411548263","35,3160362704019"
Qalandia,"31,8614490432383","35,2079995365088"
Hizma,"31,8363130542190","35,2633165364285"
al-'Eizariyah,"31,7688916139283","35,2718242917949"
a-Sawahrah a-Sharqiyah,"31,7504960212242","35,2614088668377"
a-Ram,"31,8490311159580","35,2334887057863"
al-Kasarat,"31,8066086779703","35,3077402438501"
'Anata,"31,8112718292186","35,2594300442986"
al-Jib,"31,8507681700277","35,1829310444257"
al-Khalayleh,"31,8494177965405","35,1650275932986"
Abu Dis,"31,7646744702414","35,2596099805404"
Abu a-Nuwar,"31,7591683111411","35,2995202612527"
Mikhmas,"31,8709820580442","35,2774533831239"
Khan al-Ahmar (Bedouin Community),"31,8051562021142","35,3484457220192"
Beit Iksa,"31,8166748410584","35,1800057056822"
a-Zar'i (Za’atrah),"31,6744418951614","35,2551765359120"
Beit Surik,"31,8246030360512","35,1476448750249"
al-Ka'abneh,"31,8195716364106","35,3412948378800"
Shufah,"32,2765648280724","35,0803669955140"
Nur Shams R.C.,"32,3186994304657","35,0593362152466"
Beit Lid,"32,2615458284897","35,1304513684777"
Tulkarm,"32,3192445372193","35,0245083844742"
Deir al-Ghusun,"32,3532433559474","35,0744527074091"
