Source,Target,Weight
Tarqumya,Zif,18.46298803776153
Tarqumya,Hebron,10.775657575252824
Tarqumya,Suba,24.108938974707055
Tarqumya,al-'Arrub R.C.,12.78189629829745
Tarqumya,Idhna,4.0670051596450545
Tarqumya,al-Hijrah,12.128358675675194
Tarqumya,Birin,17.392018610801053
Tarqumya,a-Dhahiriyah,20.27697269574524
Tarqumya,al-Baq'ah (Hebron),12.599384275875078
Tarqumya,Kh. Tatrit ('Arab al-Freijat),27.45151438889086
Tarqumya,a-Ramadin,25.600471609139056
Tarqumya,Deir Samit,8.441236627363377
Tarqumya,Kh. Iqteit,22.50109511156539
Tarqumya,Kh. Ma'in,23.38346647293027
Tarqumya,a-Zuweidin,25.132126016186596
Tarqumya,Kharas,4.006839285385238
Tarqumya,Beit Ula,1.739096187193243
Tarqumya,al-Mufaqarah,24.860836121723835
Tarqumya,al-Buweib,13.57290552834907
Tarqumya,Masafer Bani Na'im (Khallet al-Masafer),25.15281571518695
Tarqumya,Qalqas,13.364586337402937
Tarqumya,Shuyukh al-'Arrub,13.507183248134812
Tarqumya,Dura,9.77971612884487
Tarqumya,a-Tuwani,24.013285004624016
Tarqumya,Farsh al-Hawa,7.865457170829559
Tarqumya,Um Lasafa,22.5781788255598
Tarqumya,al-Jawaya,22.993216433374833
Tarqumya,Bani Na'im,16.99964544489514
Tarqumya,Beit 'Einun,11.598664537249016
Tarqumya,a-Rifa'iya,20.982077177668675
Tarqumya,Sa'ir,12.72497699860765
Tarqumya,Khallet al-Mayah,20.490151652903087
Tarqumya,Halhul,8.615131907988978
Tarqumya,Beit Ummar,9.432983165346684
Tarqumya,Beit Kahil,6.046798619640029
Tarqumya,'Arab al-Fureijat,27.44146810651578
Tarqumya,Far'a,5.107399962739085
Tarqumya,al-Karmel,22.545767129647516
Tarqumya,a-Samu',22.005727115481474
Tarqumya,Kh. Susiya,23.02124814425954
Tarqumya,Beit 'Awwa,10.985776944168641
Tarqumya,Beit Mirsim,17.86790079051372
Tarqumya,Yatta,17.993260291995345
Tarqumya,al-Burj,19.282789316653545
Tarqumya,Deir Razih,13.497204637662517
Tarqumya,'Arab al-Freijat,27.491553432711083
Tarqumya,Kh. a-Rahwah,25.820472204497424
Tarqumya,Humsah,6.998748105726299
Tarqumya,Sikkah,12.779210515954524
Tarqumya,Masafer Yatta,28.49566359855075
Tarqumya,al-Fawar R.C.,13.555176106059394
Tarqumya,Shufah,76.28429802350907
Tarqumya,Nur Shams R.C.,80.80106482507823
Tarqumya,Beit Lid,75.19496821225812
Tarqumya,Tulkarm,80.73897414928301
Tarqumya,Deir al-Ghusun,84.7161471864634
Tarqumya,Kh. Jubara,75.17305587989382
Tarqumya,Nazlat 'Isa,91.42316452177936
Tarqumya,Bidu,29.902690322337392
Tarqumya,a-Za'ayem,32.43220357039983
Tarqumya,al-Muntar,33.499463016459444
Tarqumya,Wadi Abu al-Hindy,34.40846758705378
Tarqumya,Qalandia,35.34724601444621
Tarqumya,Hizma,36.25495981968701
Tarqumya,al-'Eizariyah,31.68245648992112
Tarqumya,a-Sawahrah a-Sharqiyah,29.65887987742986
Tarqumya,a-Ram,35.5710396693954
Tarqumya,al-Kasarat,36.96385004469105
Tarqumya,'Anata,33.967918139321526
Tarqumya,al-Jib,33.1124058024119
Tarqumya,al-Khalayleh,32.173586714370394
Tarqumya,Abu Dis,30.487128260808387
Tarqumya,Abu a-Nuwar,33.162619617096716
Tarqumya,Mikhmas,40.0501127318714
Tarqumya,Khan al-Ahmar (Bedouin Community),39.89117895765831
Tarqumya,Beit Iksa,29.73585856326758
Tarqumya,a-Zar'i (Za’atrah),25.01055104748491
Tarqumya,Beit Surik,28.97497186672974
Tarqumya,al-Ka'abneh,40.33011661535409
Tarqumya,Jericho,52.27692481645567
Tarqumya,al-Jiftlik,76.24415397534439
Tarqumya,al-'Auja,58.92533781531572
Tarqumya,Fasayil al-Wusta,88.80901545170582
Tarqumya,'Aqbat Jaber R.C.,49.77378524018262
Tarqumya,Wadi al-Ahmar,67.17626144733532
Tarqumya,a-Zbeidat,81.19704836531331
Tarqumya,Marj Na'jah,82.69723743496574
Tarqumya,Fasayil,63.30991088444788
Tarqumya,Ras 'Ein al-'Auja,54.41265191165032
Tarqumya,Deir Hajla,52.96336979911878
Tarqumya,Deir al-Qilt,45.930308411985465
Tarqumya,a-Nabi Musa,45.351998733108445
Tarqumya,Jenin,100.48268398510801
Tarqumya,al-Mughayir,59.34701314895138
Tarqumya,Jenin R.C.,100.48268398510801
Tarqumya,al-Jalameh,106.22061551922829
Tarqumya,Kfar Dan,101.02567643689575
Tarqumya,Um a-Rihan,99.69015296901381
Tarqumya,Jalbun,103.64536560968216
Tarqumya,Farasin,93.44214536502618
Tarqumya,Rummanah,105.41064251065436
Tarqumya,Ya'bad,96.05009800865695
Tarqumya,Silat al-Harithiya,103.88600071821017
Tarqumya,Turah al-Gharbiyah,98.32555371892119
Tarqumya,Barta'ah a-Sharqiyah,97.62268100986967
Tarqumya,a-Taybah,103.85192019054509
Tarqumya,Deir Ballut,52.55821755807035
Tarqumya,Haris,58.33221419612371
Tarqumya,Kafr a-Dik,53.37634714648611
Tarqumya,Qarawat Bani Hassan,60.15682714077982
Tarqumya,Bruqin,54.02956036441905
Tarqumya,Deir Istiya,61.0626062391442
Tarqumya,Salfit,57.07063152431635
Tarqumya,Bidya,58.240652938825626
Tarqumya,a-Zawiya,56.38818252384085
Tarqumya,Sarta,57.00952743501366
Tarqumya,'Ein Shibli,80.73332821529533
Tarqumya,Balata R.C.,73.12562751590453
Tarqumya,'Askar R.C.,74.50277971437042
Tarqumya,Duma,61.83928550261097
Tarqumya,Jurish,63.8786555933234
Tarqumya,Nablus,73.96669662252374
Tarqumya,Furush Beit Dajan,77.94220095468312
Tarqumya,Lifjim,69.87938412525098
Tarqumya,Qusrah,62.568629053668005
Tarqumya,Deir Sharaf,75.5353162735129
Tarqumya,a-Sawiyah,59.54411676717782
Tarqumya,Deir al-Hatab,75.32451111387601
Tarqumya,Rujeib,71.70630286887167
Tarqumya,Huwarah,66.36019022477845
Tarqumya,Bizzariya,80.70817052133968
Tarqumya,Sabastiya,77.9977059694675
Tarqumya,Beit Dajan,75.18390714132363
Tarqumya,Qusin,73.67895776561328
Tarqumya,a-Lubban a-Sharqiyah,57.51127458440029
Tarqumya,Qabalan,62.42404592387863
Tarqumya,'Asirah a-Shamaliyah,77.21493900698836
Tarqumya,Burqah,40.38385268027611
Tarqumya,Zawata,75.24876928349047
Tarqumya,Battir,19.421485675591548
Tarqumya,Beit Jala,21.714267434595033
Tarqumya,Bir 'Unah,22.149573876108445
Tarqumya,Irtas,20.129177682346654
Tarqumya,al-Walajah,20.813330891686036
Tarqumya,al-Khader,19.072703179687156
Tarqumya,Jub a-Dib,24.05285196166052
Tarqumya,al-Fureidis,22.742329041922545
Tarqumya,Nahhalin,14.810816884682543
Tarqumya,Husan,17.494113782414164
Tarqumya,Tekoa,19.90888300756432
Tarqumya,al-Maniyah,19.932852939523663
Tarqumya,al-Halqum,18.91949219590791
Tarqumya,Beit Fajjar,14.07374394661492
Tarqumya,Khallet Sakariya,13.393052689818116
Tarqumya,Wadi Fukin,15.662786011319437
Tarqumya,'Arab a-Rashayidah,30.744708828838995
Tarqumya,al-Khas,26.415873875413325
Tarqumya,Khallet al-Louza,19.854652235825355
Tarqumya,Harmalah,39.12838664587272
Tarqumya,Wadi Rahhal,17.978700487633166
Tarqumya,Beit Ta'mar,24.028765765371507
Tarqumya,Kh. a-Nahlah,18.95699083404152
Tarqumya,Kisan,19.99383116908068
Tarqumya,Bethlehem,22.2405723530813
Tarqumya,Kh. Humsah a-Tahta,6.97999514820624
Tarqumya,Kh. al-Maleh (Hamamat al-Maleh),92.49388357026055
Tarqumya,Kh. a-Ras al-Ahmar,86.89899706374017
Tarqumya,Kh.Ibziq,95.03901299925161
Tarqumya,Kh. 'Einun,80.38317699554135
Tarqumya,Bardalah,98.74189303837346
Tarqumya,Kardalah,98.50448958356905
Tarqumya,Kh. Humsah,7.128403137941098
Tarqumya,Tammun,84.57711031398806
Tarqumya,Hamam al-Maleh,92.7712110363121
Tarqumya,Tayasir,90.62359687876187
Tarqumya,Kh. 'Atuf,84.87855090956563
Tarqumya,al-Burj (Tubas),19.259607849243327
Tarqumya,'Azzun 'Atmah,58.99638710708046
Tarqumya,a-Nabi Elyas,65.76215831494541
Tarqumya,Jayus,67.587993503348
Tarqumya,Hajjah,68.97507563174304
Tarqumya,Hablah,63.66860430121305
Tarqumya,al-Funduq,67.01817635201613
Tarqumya,Kafr Laqif,65.99016097017082
Tarqumya,Immatin,68.12982807618606
Tarqumya,Jinsafut,66.33300420017771
Tarqumya,Ras 'Atiya,62.933955895632856
Tarqumya,'Arab a-Ramadin al-Janubi,64.71990071308255
Tarqumya,Qalqiliyah,67.10045377347741
Tarqumya,Jit,71.27137985627469
Tarqumya,'Ein Samia,53.7163859739808
Tarqumya,Beit Sira,32.99665711115834
Tarqumya,a-Lubban al-Gharbiyah,49.35391028952091
Tarqumya,Ramallah,39.13164919418508
Tarqumya,al-Mazra'ah al-Qibliyah,42.18972011046075
Tarqumya,Ni'lin,39.51817403632724
Tarqumya,Um Safa,48.57843082539945
Tarqumya,Deir a-Sudan,50.60705666680607
Tarqumya,Deir 'Ammar,42.48829810077744
