Id,Label,Cor
Tarqumya,Tarqumya,red
Zif,Zif,red
Hebron,Hebron,red
Suba,Suba,yellow
al-'Arrub R.C.,al-'Arrub R.C.,yellow
Idhna,Idhna,orange
al-Hijrah,al-Hijrah,yellow
Birin,Birin,red
a-Dhahiriyah,a-Dhahiriyah,yellow
al-Baq'ah (Hebron),al-Baq'ah (Hebron),yellow
Kh. Tatrit ('Arab al-Freijat),Kh. Tatrit ('Arab al-Freijat),orange
a-Ramadin,a-Ramadin,yellow
Deir Samit,Deir Samit,yellow
Kh. Iqteit,Kh. Iqteit,yellow
Kh. Ma'in,Kh. Ma'in,orange
a-Zuweidin,a-Zuweidin,yellow
Kharas,Kharas,yellow
Beit Ula,Beit Ula,yellow
al-Mufaqarah,al-Mufaqarah,yellow
al-Buweib,al-Buweib,red
Masafer Bani Na'im (Khallet al-Masafer),Masafer Bani Na'im (Khallet al-Masafer),yellow
Qalqas,Qalqas,orange
Shuyukh al-'Arrub,Shuyukh al-'Arrub,yellow
Dura,Dura,yellow
a-Tuwani,a-Tuwani,yellow
Farsh al-Hawa,Farsh al-Hawa,yellow
Um Lasafa,Um Lasafa,yellow
al-Jawaya,al-Jawaya,orange
Bani Na'im,Bani Na'im,yellow
Beit 'Einun,Beit 'Einun,yellow
a-Rifa'iya,a-Rifa'iya,yellow
Sa'ir,Sa'ir,yellow
Khallet al-Mayah,Khallet al-Mayah,yellow
Halhul,Halhul,orange
Beit Ummar,Beit Ummar,yellow
Beit Kahil,Beit Kahil,yellow
'Arab al-Fureijat,'Arab al-Fureijat,yellow
Far'a,Far'a,yellow
al-Karmel,al-Karmel,yellow
a-Samu',a-Samu',yellow
Kh. Susiya,Kh. Susiya,orange
Beit 'Awwa,Beit 'Awwa,yellow
Beit Mirsim,Beit Mirsim,yellow
Yatta,Yatta,yellow
al-Burj,al-Burj,yellow
Deir Razih,Deir Razih,yellow
'Arab al-Freijat,'Arab al-Freijat,yellow
Kh. a-Rahwah,Kh. a-Rahwah,yellow
Humsah,Humsah,yellow
Sikkah,Sikkah,yellow
Masafer Yatta,Masafer Yatta,yellow
al-Fawar R.C.,al-Fawar R.C.,yellow
Shufah,Shufah,yellow
Nur Shams R.C.,Nur Shams R.C.,yellow
Beit Lid,Beit Lid,yellow
Tulkarm,Tulkarm,red
Deir al-Ghusun,Deir al-Ghusun,yellow
Kh. Jubara,Kh. Jubara,yellow
Nazlat 'Isa,Nazlat 'Isa,yellow
Bidu,Bidu,yellow
a-Za'ayem,a-Za'ayem,red
al-Muntar,al-Muntar,red
Wadi Abu al-Hindy,Wadi Abu al-Hindy,yellow
