Source,Target,Weight
Tarqumya,Zif,18.46298803776153
Tarqumya,Hebron,10.775657575252824
Tarqumya,Suba,24.108938974707055
Tarqumya,al-'Arrub R.C.,12.78189629829745
Tarqumya,Idhna,4.0670051596450545
Tarqumya,al-Hijrah,12.128358675675194
Tarqumya,Birin,17.392018610801053
Tarqumya,a-Dhahiriyah,20.27697269574524
Tarqumya,al-Baq'ah (Hebron),12.599384275875078
Tarqumya,Kh. Tatrit ('Arab al-Freijat),27.45151438889086
Tarqumya,a-Ramadin,25.600471609139056
Tarqumya,Deir Samit,8.441236627363377
Tarqumya,Kh. Iqteit,22.50109511156539
Tarqumya,Kh. Ma'in,23.38346647293027
Tarqumya,a-Zuweidin,25.132126016186596
Tarqumya,Kharas,4.006839285385238
Tarqumya,Beit Ula,1.739096187193243
Tarqumya,al-Mufaqarah,24.860836121723835
Tarqumya,al-Buweib,13.57290552834907
Tarqumya,Masafer Bani Na'im (Khallet al-Masafer),25.15281571518695
Tarqumya,Qalqas,13.364586337402937
Tarqumya,Shuyukh al-'Arrub,13.507183248134812
Tarqumya,Dura,9.77971612884487
Tarqumya,a-Tuwani,24.013285004624016
Tarqumya,Farsh al-Hawa,7.865457170829559
Tarqumya,Um Lasafa,22.5781788255598
Tarqumya,al-Jawaya,22.993216433374833
Tarqumya,Bani Na'im,16.99964544489514
Tarqumya,Beit 'Einun,11.598664537249016
Tarqumya,a-Rifa'iya,20.982077177668675
Tarqumya,Sa'ir,12.72497699860765
Tarqumya,Khallet al-Mayah,20.490151652903087
Tarqumya,Halhul,8.615131907988978
Tarqumya,Beit Ummar,9.432983165346684
Tarqumya,Beit Kahil,6.046798619640029
Tarqumya,'Arab al-Fureijat,27.44146810651578
Tarqumya,Far'a,5.107399962739085
Tarqumya,al-Karmel,22.545767129647516
Tarqumya,a-Samu',22.005727115481474
Tarqumya,Kh. Susiya,23.02124814425954
Tarqumya,Beit 'Awwa,10.985776944168641
Tarqumya,Beit Mirsim,17.86790079051372
Tarqumya,Yatta,17.993260291995345
Tarqumya,al-Burj,19.282789316653545
Tarqumya,Deir Razih,13.497204637662517
Tarqumya,'Arab al-Freijat,27.491553432711083
Tarqumya,Kh. a-Rahwah,25.820472204497424
Tarqumya,Humsah,6.998748105726299
Tarqumya,Sikkah,12.779210515954524
Tarqumya,Masafer Yatta,28.49566359855075
Tarqumya,al-Fawar R.C.,13.555176106059394
Zif,Tarqumya,18.46298803776153
Zif,Hebron,7.9816691906870085
Zif,Suba,35.37665678144612
Zif,al-'Arrub R.C.,16.74288672477599
Zif,Idhna,19.00727620481462
Zif,al-Hijrah,8.223994405856061
Zif,Birin,2.5911981200736687
Zif,a-Dhahiriyah,16.55112490153101
Zif,al-Baq'ah (Hebron),7.711900457563135
Zif,Kh. Tatrit ('Arab al-Freijat),23.997421884886894
Zif,a-Ramadin,23.842665931921548
Zif,Deir Samit,16.69533755304736
Zif,Kh. Iqteit,25.01109889615908
Zif,Kh. Ma'in,6.370537322796533
Zif,a-Zuweidin,7.418123581426386
Zif,Kharas,18.530208536609305
Zif,Beit Ula,18.124662254642676
Zif,al-Mufaqarah,7.16705992325951
Zif,al-Buweib,7.033673949769757
Zif,Masafer Bani Na'im (Khallet al-Masafer),11.020339503000482
Zif,Qalqas,5.2935416262805335
Zif,Shuyukh al-'Arrub,12.331000659990687
Zif,Dura,11.312789081923862
Zif,a-Tuwani,6.032028651054529
Zif,Farsh al-Hawa,11.543183570925661
Zif,Um Lasafa,4.147733437392794
Zif,al-Jawaya,4.907789731597754
Zif,Bani Na'im,6.006461385144049
Zif,Beit 'Einun,10.989095012157943
Zif,a-Rifa'iya,2.536646920855681
Zif,Sa'ir,12.937888292162889
Zif,Khallet al-Mayah,2.270062409661927
Zif,Halhul,13.132530932990136
Zif,Beit Ummar,17.748116254834354
Zif,Beit Kahil,13.320104753597397
Zif,'Arab al-Fureijat,24.00686468939768
Zif,Far'a,14.620630765509615
Zif,al-Karmel,5.4483880321051785
Zif,a-Samu',10.186677544119599
Zif,Kh. Susiya,7.631992526741131
Zif,Beit 'Awwa,18.413628635990193
Zif,Beit Mirsim,21.51590249217818
Zif,Yatta,5.153638918162842
Zif,al-Burj,22.11057030156237
Zif,Deir Razih,9.222541977965562
Zif,'Arab al-Freijat,24.00298930942886
Zif,Kh. a-Rahwah,21.243976524960388
Zif,Humsah,16.31927658001773
Zif,Sikkah,18.708154679215557
Zif,Masafer Yatta,10.3667149377475
Zif,al-Fawar R.C.,7.043886887385923
Hebron,Tarqumya,10.775657575252824
Hebron,Zif,7.9816691906870085
Hebron,Suba,28.53221533591678
Hebron,al-'Arrub R.C.,10.653523879154685
Hebron,Idhna,12.17294521580415
Hebron,al-Hijrah,5.866816317068273
Hebron,Birin,6.622387866224861
Hebron,a-Dhahiriyah,17.393281322934993
Hebron,al-Baq'ah (Hebron),2.7555655786853213
Hebron,Kh. Tatrit ('Arab al-Freijat),25.45019005823087
Hebron,a-Ramadin,24.482840872171558
Hebron,Deir Samit,11.63504109820555
Hebron,Kh. Iqteit,23.78058019972915
Hebron,Kh. Ma'in,13.750298024241275
Hebron,a-Zuweidin,14.356488680553714
Hebron,Kharas,10.549327499052488
Hebron,Beit Ula,10.233761630054715
Hebron,al-Mufaqarah,14.928176624891522
Hebron,al-Buweib,6.321392869228939
Hebron,Masafer Bani Na'im (Khallet al-Masafer),14.982755707119662
Hebron,Qalqas,3.8949605889438
Hebron,Shuyukh al-'Arrub,7.407628960154564
Hebron,Dura,7.098795620319384
Hebron,a-Tuwani,13.901501575987451
Hebron,Farsh al-Hawa,3.5942403682951958
Hebron,Um Lasafa,12.123142726813816
Hebron,al-Jawaya,12.804417735721332
Hebron,Bani Na'im,6.6724385589404775
Hebron,Beit 'Einun,4.978033055645167
Hebron,a-Rifa'iya,10.512021407395803
Hebron,Sa'ir,7.44248888656263
Hebron,Khallet al-Mayah,10.179000727323267
Hebron,Halhul,5.668758276580883
Hebron,Beit Ummar,10.473594628802534
Hebron,Beit Kahil,5.3385419686571325
Hebron,'Arab al-Fureijat,25.451032018788258
Hebron,Far'a,7.97283698867085
Hebron,al-Karmel,12.832319944950234
Hebron,a-Samu',14.743657500598799
Hebron,Kh. Susiya,14.122172848405873
Hebron,Beit 'Awwa,14.156127912762921
Hebron,Beit Mirsim,19.426775244224803
Hebron,Yatta,9.391173867997077
Hebron,al-Burj,20.462414131337884
Hebron,Deir Razih,8.166415366407682
Hebron,'Arab al-Freijat,25.472486596010224
Hebron,Kh. a-Rahwah,23.033129659292555
Hebron,Humsah,10.674257111378338
Hebron,Sikkah,15.165355462031608
Hebron,Masafer Yatta,18.320502025787665
Hebron,al-Fawar R.C.,6.3104728945395445
Suba,Tarqumya,24.108938974707055
Suba,Zif,35.37665678144612
Suba,Hebron,28.53221533591678
Suba,al-'Arrub R.C.,18.675621045921524
Suba,Idhna,27.893459752497677
Suba,al-Hijrah,33.44987111592895
Suba,Birin,32.99922182794396
Suba,a-Dhahiriyah,43.84552803001698
Suba,al-Baq'ah (Hebron),27.745107037275766
Suba,Kh. Tatrit ('Arab al-Freijat),51.40024606973364
Suba,a-Ramadin,49.658457334702845
Suba,Deir Samit,32.53766971953004
Suba,Kh. Iqteit,46.540914237543745
Suba,Kh. Ma'in,41.716937165285984
Suba,a-Zuweidin,38.55964562001602
Suba,Kharas,20.618357755866317
Suba,Beit Ula,22.717321333324055
Suba,al-Mufaqarah,42.48785735768153
Suba,al-Buweib,34.45211943263348
Suba,Masafer Bani Na'im (Khallet al-Masafer),34.31097349525716
Suba,Qalqas,32.42714149273754
Suba,Shuyukh al-'Arrub,23.216866247324134
Suba,Dura,32.4591132770014
Suba,a-Tuwani,41.28039725134448
Suba,Farsh al-Hawa,25.336922808898137
Suba,Um Lasafa,38.9791193489412
Suba,al-Jawaya,40.158202625601334
Suba,Bani Na'im,30.168115763563826
Suba,Beit 'Einun,24.40941082074766
Suba,a-Rifa'iya,37.549955422806995
Suba,Sa'ir,22.49486433259237
Suba,Khallet al-Mayah,37.60757754302172
Suba,Halhul,22.871434152210576
Suba,Beit Ummar,18.077509374542565
Suba,Beit Kahil,24.373294621638532
Suba,'Arab al-Fureijat,51.392117574778545
Suba,Far'a,28.54420575107683
Suba,al-Karmel,40.78453087300064
Suba,a-Samu',43.21803812290051
Suba,Kh. Susiya,42.50435613357775
Suba,Beit 'Awwa,35.07503803309238
Suba,Beit Mirsim,41.94762018116182
Suba,Yatta,37.92065549291675
Suba,al-Burj,43.37293686328175
Suba,Deir Razih,35.5461498002587
Suba,'Arab al-Freijat,51.43742868400142
Suba,Kh. a-Rahwah,49.55890096702659
Suba,Humsah,31.06902432511692
Suba,Sikkah,36.87926482342892
Suba,Masafer Yatta,45.20353535287477
Suba,al-Fawar R.C.,34.437304477633845
al-'Arrub R.C.,Tarqumya,12.78189629829745
al-'Arrub R.C.,Zif,16.74288672477599
al-'Arrub R.C.,Hebron,10.653523879154685
al-'Arrub R.C.,Suba,18.675621045921524
al-'Arrub R.C.,Idhna,16.512852743151583
al-'Arrub R.C.,al-Hijrah,16.327351895028016
al-'Arrub R.C.,Birin,14.329015845911899
al-'Arrub R.C.,a-Dhahiriyah,27.72474333004138
al-'Arrub R.C.,al-Baq'ah (Hebron),9.257063578685562
